mall_id,name,confidence_level,center_lon,center_lat,center_source,reviewer,reason,final_polygon_geojson,review_round,reviewed_at,selected_provider,selected_poi_name,official_coord_evidence
2173,湖州东吴银泰城,A,120.09427313,30.87679132,official_poi_auto,,,,,,tencent,湖州东吴银泰城C馆,multi_provider_agree
2187,杭州中大银泰城,A,120.17124509,30.32964446,official_poi_auto,,,,,,tencent,杭州中大银泰城,multi_provider_agree
2217,嘉兴旭辉广场,A,120.74239793,30.76284522,official_poi_auto,,,,,,tencent,嘉兴旭辉广场,multi_provider_agree
2280,宁波奉化银泰城,A,121.40828103,29.66609621,official_poi_auto,,,,,,amap,宁波奉化银泰城购物中心,multi_provider_agree
2318,宁波鄞州宝龙广场,A,121.56366033,29.83830957,official_poi_auto,,,,,,tencent,宁波鄞州宝龙广场,multi_provider_agree
2346,金华银泰城,A,119.64949583,29.10672224,official_poi_auto,,,,,,tencent,金华银泰城,multi_provider_agree
2352,杭州富阳迎宾商业广场,A,119.94617486,30.06616078,official_poi_auto,,,,,,tencent,杭州富阳迎宾商业广场,multi_provider_agree
2410,宁波万象汇,A,121.56397519,29.83606732,official_poi_auto,,,,,,amap,宁波万象汇,multi_provider_agree
2415,宁波金沙码头奥莱公园,A,121.65062265,29.89473459,official_poi_auto,,,,,,amap,金沙码头奥莱公园,multi_provider_agree
2459,宁波环宇城,A,121.54331369,29.85187028,official_poi_auto,,,,,,tencent,SIEMENS(宁波环宇城),multi_provider_agree
2508,温州龙港市新鸿广场未来城,A,120.5859463,27.56263955,official_poi_auto,,,,,,tencent,新鸿未来城,multi_provider_agree
2539,龙湖杭州滨康天街,A,120.22547964,30.18617736,official_poi_auto,,,,,,tencent,龙湖杭州滨康天街,multi_provider_agree
2549,杭州鲁能城,A,120.20874196,30.25130771,official_poi_auto,,,,,,amap,杭州鲁能城置地有限公司,multi_provider_agree
2613,宁波海曙恒一广场,A,121.51017543,29.85350199,official_poi_auto,,,,,,amap,宁波海曙恒一广场,multi_provider_agree
2631,湖州首创奥特莱斯,A,120.11319826,30.94029447,official_poi_auto,,,,,,amap,湖州首创奥特莱斯,multi_provider_agree
2656,嘉兴桐乡吾悦广场,A,120.58693517,30.63074733,official_poi_auto,,,,,,amap,小鹏汽车嘉兴桐乡吾悦广场销售中心,multi_provider_agree
2669,杭州科技城宝龙广场,A,119.98203611,30.28147625,official_poi_auto,,,,,,tencent,杭州科技城宝龙广场,multi_provider_agree
2678,杭州亚奥万象天地,A,120.24323263,30.25833376,official_poi_auto,,,,,,amap,杭州亚奥万象天地,multi_provider_agree
2691,杭州大厦中央商城,A,120.15857298,30.27344489,official_poi_auto,,,,,,tencent,杭州大厦·中央商城,multi_provider_agree
2711,慈溪高新区爱琴海购物公园,A,121.2127844,30.22718714,official_poi_auto,,,,,,amap,慈溪高新区爱琴海购物中心,multi_provider_agree
2745,金华金义宝龙广场,A,119.86374243,29.21820854,official_poi_auto,,,,,,tencent,金华金义宝龙广场,multi_provider_agree
2755,湖州南浔吾悦广场,A,120.40401347,30.86431291,official_poi_auto,,,,,,amap,湖州南浔吾悦广场,multi_provider_agree
2806,宁波江北恒一广场,A,121.49809513,29.93163393,official_poi_auto,,,,,,tencent,如花家纹眉·宁波江北恒一广场店,multi_provider_agree
2813,杭州嘉里中心,A,120.15811438,30.2627682,official_poi_auto,,,,,,tencent,杭州嘉里中心,multi_provider_agree
2863,台州临海伟星·星悦广场,A,121.17758749,28.88161086,official_poi_auto,,,,,,amap,临海伟星星悦广场,multi_provider_agree
2866,舟山定海宝龙天地,A,122.06154789,30.0217038,official_poi_auto,,,,,,amap,舟山定海宝龙天地,multi_provider_agree
2882,衢州银泰城,A,118.94104338,28.97616593,official_poi_auto,,,,,,amap,衢州银泰城,multi_provider_agree
2885,义乌吾悦广场,A,120.10120928,29.30738022,official_poi_auto,,,,,,tencent,义乌吾悦广场,multi_provider_agree
2898,杭州青山湖宝龙广场一期,A,119.82363032,30.26060806,official_poi_auto,,,,,,amap,杭州青山湖宝龙广场A区,multi_provider_agree
2914,杭州水晶城购物中心,A,120.14699646,30.30679622,official_poi_auto,,,,,,tencent,杭州水晶城购物中心,multi_provider_agree
2925,嘉兴桐乡新世界购物广场,A,120.55602872,30.63216782,official_poi_auto,,,,,,amap,新世界购物广场,multi_provider_agree
2941,绍兴世茂广场,A,120.59153343,30.00579769,official_poi_auto,,,,,,tencent,绍兴世茂广场,multi_provider_agree
2945,衢州吾悦广场,A,118.84398462,28.97711273,official_poi_auto,,,,,,tencent,衢州吾悦广场,multi_provider_agree
2953,宁波慈溪银泰城,A,121.24419614,30.17247752,official_poi_auto,,,,,,tencent,宁波慈溪银泰城,multi_provider_agree
2961,台州黄岩奥特莱斯广场,A,121.2636772,28.55998116,official_poi_auto,,,,,,amap,台州黄岩奥特莱斯广场,multi_provider_agree
2966,绍兴华联银泰城,A,120.5506423,30.03026677,official_poi_auto,,,,,,amap,绍兴华联银泰城,multi_provider_agree
3031,余姚嘉悦购物广场,A,121.17827903,30.06207247,official_poi_auto,,,,,,amap,余姚嘉悦广场,multi_provider_agree
3061,龙湖杭州紫荆天街,A,120.08686085,30.32292738,official_poi_auto,,,,,,tencent,龙湖杭州紫荆天街,multi_provider_agree
3078,嘉兴星河COCO,A,120.75282325,30.7254986,official_poi_auto,,,,,,amap,嘉兴星河COCO City店,multi_provider_agree
3093,温州TOD国际新城印象汇,A,120.78016436,27.95727134,official_poi_auto,,,,,,tencent,温州TOD国际新城印象汇,multi_provider_agree
3105,金华义乌爱琴海购物公园,A,120.16919846,29.33501902,official_poi_auto,,,,,,tencent,金华义乌爱琴海购物公园极充站,multi_provider_agree
3229,杭州萧山宝龙广场,A,120.24860254,30.19825283,official_poi_auto,,,,,,amap,杭州萧山宝龙广场,multi_provider_agree
3301,杭州解百城市奥莱,A,120.16090535,30.25219647,official_poi_auto,,,,,,tencent,杭州解百城市奥莱-座椅,multi_provider_agree
3427,温州乐清宝龙广场,A,120.88432263,28.02289621,official_poi_auto,,,,,,tencent,小鹏S4超快充 温州乐清宝龙广场站,multi_provider_agree
3489,绍兴国金大悦城,A,120.57874479,30.00298686,official_poi_auto,,,,,,amap,绍兴国金大悦城,multi_provider_agree
3504,杭州大江东宝龙广场,A,120.49082587,30.3056341,official_poi_auto,,,,,,amap,杭州大江东宝龙广场,multi_provider_agree
3511,杭州运河上街购物中心,A,120.13966106,30.32127208,official_poi_auto,,,,,,tencent,杭州运河上街购物中心,multi_provider_agree
3527,嘉兴中关村广场购物中心,A,120.68389655,30.75996965,official_poi_auto,,,,,,amap,嘉兴中关村广场购物中心,multi_provider_agree
3543,绍兴嵊州西皮茂城市客厅,A,120.82310951,29.559132,official_poi_auto,,,,,,amap,西皮茂城市客厅,multi_provider_agree
3550,宁波1902万科广场,A,121.62007078,29.93089857,official_poi_auto,,,,,,amap,宁波1902万科广场,multi_provider_agree
3562,杭州天虹购物中心,A,120.20523799,30.26717842,official_poi_auto,,,,,,tencent,杭州天虹购物中心B座,multi_provider_agree
3608,龙湖杭州国芳天街,A,120.26969684,30.31202551,official_poi_auto,,,,,,amap,龙湖杭州国芳天街,multi_provider_agree
3707,宁波象山万达广场,A,121.86859175,29.45835979,official_poi_auto,,,,,,amap,宁波象山万达广场,multi_provider_agree
3711,宁波东遇Meet52,A,121.57665864,29.82609989,official_poi_auto,,,,,,tencent,宁波东遇Meet52,multi_provider_agree
3962,杭州仓前万达广场,A,119.99322356,30.28358716,official_poi_auto,,,,,,tencent,杭州仓前万达广场,multi_provider_agree
4007,杭州锦南宝龙广场,A,119.69169013,30.20394006,official_poi_auto,,,,,,tencent,杭州锦南宝龙广场,multi_provider_agree
4008,绍兴柯桥宝龙广场,A,120.50647566,30.10623729,official_poi_auto,,,,,,amap,绍兴柯桥宝龙广场,multi_provider_agree
4034,杭州金地广场,A,120.07750447,30.34186649,official_poi_auto,,,,,,amap,杭州金地广场购物中心,multi_provider_agree
4070,杭州拱墅宝龙广场,A,120.17488286,30.34412233,official_poi_auto,,,,,,tencent,杭州拱墅宝龙广场,multi_provider_agree
4077,宁波杉井奥特莱斯广场,A,121.44565362,29.86002359,official_poi_auto,,,,,,amap,杉井奥特莱斯广场·宁波,multi_provider_agree
4104,金华永康宝龙广场,A,120.0244941,28.9030965,official_poi_auto,,,,,,tencent,金华永康宝龙广场,multi_provider_agree
4106,温州瑞立外滩生活广场,A,120.64148657,27.75581458,official_poi_auto,,,,,,amap,瑞立外滩生活广场,multi_provider_agree
4236,杭州富春新天地,A,119.9370171,30.0765133,official_poi_auto,,,,,,amap,富春新天地购物中心,multi_provider_agree
4263,杭州尚城1157利星,A,120.16401714,30.23013466,official_poi_auto,,,,,,tencent,尚城1157·利星,multi_provider_agree
4281,舟山东港凯虹广场,A,122.31486148,29.96871434,official_poi_auto,,,,,,amap,浙江舟山东港凯虹店,multi_provider_agree
4283,杭州大厦501城市广场,A,120.19917175,30.26195375,official_poi_auto,,,,,,amap,杭州大厦501城市广场,multi_provider_agree
4312,杭州加州阳光城市生活广场,A,120.2473677,30.18525854,official_poi_auto,,,,,,tencent,杭州加州阳光城市生活广场,multi_provider_agree
4386,宁波绿地新都会,A,121.44531887,29.96498826,official_poi_auto,,,,,,tencent,宁波绿地新都会轻充站,multi_provider_agree
4404,嘉兴杉杉in象,A,120.72276978,30.77753446,official_poi_auto,,,,,,tencent,易车(嘉兴杉杉in象站),multi_provider_agree
