mall_id,name,province,city,confidence_level,center_lon,center_lat,center_source,reviewer,reason,final_polygon_geojson,review_round,reviewed_at,selected_provider,selected_poi_name,official_coord_evidence
8250,上海都市奥特莱斯（飞洲国际店）,上海市,上海市,A,121.43255627,31.18502097,manual_review,admin,,,1,2026-07-13 08:38:12,amap,都市奥特莱斯(上海飞洲国际广场店),single_provider_strong
8251,上海金富门Park 1287,上海市,上海市,A,121.48237474,31.39842193,official_poi_auto,,,,,,tencent,金富门PARK1287,multi_provider_agree
8252,上海金悦乐方,上海市,上海市,A,121.39956846,31.00876646,official_poi_auto,,,,,,amap,金悦乐方,multi_provider_agree
8253,上海金泽元·拾光里,上海市,上海市,A,121.46851307,31.31454911,official_poi_auto,,,,,,tencent,金泽元·拾光里,multi_provider_agree
8254,上海鑫耀·光环Live二期,上海市,上海市,A,121.41078287,31.16912792,official_poi_auto,,,,,,tencent,鑫耀光环Live二期,multi_provider_agree
8255,上海鑫都满天星广场,上海市,上海市,A,121.39138077,31.05859042,official_poi_auto,,,,,,tencent,鑫都满天星生活广场,multi_provider_agree
8256,上海锦丰坊越都荟,上海市,上海市,A,121.4627901,31.27470364,manual_review,admin,,,1,2026-07-13 08:38:58,amap,锦丰坊(base佰舍店),multi_provider_agree
8257,上海锦绣坊,上海市,上海市,A,121.53730792,31.21818762,official_poi_auto,,,,,,amap,锦绣坊,multi_provider_agree
8258,上海长兴阳光天地,上海市,上海市,A,121.75643114,31.35539109,official_poi_auto,,,,,,amap,长兴阳光天地,multi_provider_agree
8259,上海阳明商业广场PARK,上海市,上海市,A,121.39803226,31.18987353,manual_review,admin,,,1,2026-07-13 08:39:44,tencent,古北1699商业广场,weak_or_disputed
8260,上海陆悦天地,上海市,上海市,A,121.6116868,31.18561216,official_poi_auto,,,,,,tencent,陆悦天地,multi_provider_agree
8261,上海集盛中心,上海市,上海市,A,121.62778277,31.20884792,manual_review,admin,,,1,2026-07-13 08:40:43,amap,张江高科·集盛中心,single_provider_strong
