mall_id,name,province,city,confidence_level,identity_status,selected_poi_name,selected_address,selected_poi_type,selected_lon_wgs84,selected_lat_wgs84,official_coord_evidence,identity_reasons,suspicious_reason
6046,常州文化广场艺象天街,江苏省,常州市,C,manual_review,IANYAN设计师珠宝品牌,江苏省常州市新北区三井街道文化广场负一楼艺象天地65号、66号,购物:珠宝饰品:珠宝,119.96820881,31.80820905,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6053,苏州震泽新乐时尚生活广场,江苏省,苏州市,C,manual_review,新乐时尚生活广场,塔影路36号,购物服务;商场;购物中心|购物服务;商场;普通商场,120.51135045,30.90601053,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6066,瑞安宏地未来城,浙江省,温州市,C,manual_review,易购超市,浙江省温州市瑞安市汀田街道镇中路宏地·未来城,购物:超市,120.70420513,27.7965588,weak_or_disputed,name_match_medium|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6078,丽水景宁东方广场,浙江省,丽水市,C,manual_review,景宁祥源商贸城,,购物服务;商场;商场,119.63278383,27.99555631,weak_or_disputed,name_match_weak|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6095,无锡梅村五洲国际广场,江苏省,无锡市,C,manual_review,梅村五洲国际广场,江苏省无锡市新吴区梅村新友北路8号,购物:综合商场:购物中心,120.43842389,31.54745137,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6106,宁波荣安星光大道,浙江省,宁波市,C,manual_review,荣安•星光大道(广场),天童南路与句章东路交叉口东北200米,购物服务;商场;普通商场,121.54366027,29.7990458,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6115,金华和悦邻里中心,浙江省,金华市,C,manual_review,金开·和悦邻里,苏孟乡后山路169号,购物服务;商场;商场,119.66290722,29.0591239,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6116,盐城新漾里,江苏省,盐城市,C,manual_review,盐城爱琴海购物中心,开放大道北路150号,购物服务;商场;购物中心,120.12553793,33.42318551,weak_or_disputed,name_match_weak|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6128,南京美糖广场,江苏省,南京市,C,manual_review,MEET TOWN美糖广场,江苏省南京市栖霞区杉湖东路16号,购物:综合商场:购物中心,118.92741549,32.10251073,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6131,南京ITC,江苏省,南京市,C,manual_review,ITC MALL,江苏省南京市鼓楼区热河南路1号江苏国际人才公寓,购物:综合商场,118.73625478,32.08800967,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
